,govt_funded_schools
0,Admiralty Primary School
1,Ahmad Ibrahim Primary School
2,Alexandra Primary School
3,Anchor Green Primary School
4,Anderson Primary School
5,Angsana Primary School
6,Ang Mo Kio Primary School
7,Balestier Hill Primary School
8,Beacon Primary School
9,Bedok Green Primary School
10,Bendemeer Primary School
11,Blangah Rise Primary School
12,Boon Lay Garden Primary School
13,Bukit Panjang Primary School
14,Bukit Timah Primary School
15,Bukit View Primary School
16,Canberra Primary School
17,Cantonment Primary School
18,Casuarina Primary School
19,Cedar Primary School
20,Changkat Primary School
21,Chongzheng Primary School
22,Chua Chu Kang Primary School
23,Clementi Primary School
24,Compassvale Primary School
25,Concord Primary School
26,Coral Primary School
27,Corporation Primary School
28,Da Qiao Primary School
29,Damai Primary School
30,Dazhong Primary School
31,East Coast Primary School
32,East Spring Primary School
33,East View Primary School
34,Edgefield Primary School
35,Elias Park Primary School
36,Endeavour Primary School
37,Eunos Primary School
38,Evergreen Primary School
39,Farrer Park Primary School
40,Fengshan Primary School
41,Fernvale Primary School
42,First Toa Payoh Primary School
43,Frontier Primary School
44,Fuchun Primary School
45,Fuhua Primary School
46,Gan Eng Seng Primary School
47,Gongshang Primary School
48,Greendale Primary School
49,Greenridge Primary School
50,Greenwood Primary School
51,Guangyang Primary School
52,Haig Girls' School
53,Henry Park Primary School
54,Horizon Primary School
55,Hougang Primary School
56,Huamin Primary School
57,Innova Primary School
58,Jiemin Primary School
59,Jing Shan Primary School
60,Junyuan Primary School
61,Jurong Primary School
62,Jurong West Primary School
63,Juying Primary School
64,Keming Primary School
65,Kranji Primary School
66,Lakeside Primary School
67,Lianhua Primary School
68,Loyang Primary School
69,MacPherson Primary School
70,Marsiling Primary School
71,Mayflower Primary School
72,Meridian Primary School
73,Naval Base Primary School
74,New Town Primary School
75,Northland Primary School
76,Northoaks Primary School
77,North Spring Primary School
78,North View Primary School
79,North Vista Primary School
80,Oasis Primary School
81,Opera Estate Primary School
82,Palm View Primary School
83,Park View Primary School
84,Pasir Ris Primary School
85,Pei Tong Primary School
86,Peiying Primary School
87,Pioneer Primary School
88,Princess Elizabeth Primary School
89,Punggol Cove Primary School
90,Punggol Green Primary School
91,Punggol Primary School
92,Punggol View Primary School
93,Qifa Primary School
94,Qihua Primary School
95,Queenstown Primary School
96,Radin Mas Primary School
97,Raffles Girls' Primary School
98,Riverside Primary School
99,River Valley Primary School
100,Rivervale Primary School
101,Rosyth School
102,Rulang Primary School
103,Sembawang Primary School
104,Sengkang Green Primary School
105,Seng Kang Primary School
106,Shuqun Primary School
107,Si Ling Primary School
108,South View Primary School
109,Springdale Primary School
110,Stamford Primary School
111,Tampines North Primary School
112,Tampines Primary School
113,Tanjong Katong Primary School
114,Teck Ghee Primary School
115,Teck Whye Primary School
116,Telok Kurau Primary School
117,Temasek Primary School
118,Townsville Primary School
119,Unity Primary School
120,Waterway Primary School
121,Wellington Primary School
122,West Grove Primary School
123,West Spring Primary School
124,Westwood Primary School
125,West View Primary School
126,White Sands Primary School
127,Woodgrove Primary School
128,Woodlands Primary School
129,Woodlands Ring Primary School
130,Xinghua Primary School
131,Xingnan Primary School
132,Xinmin Primary School
133,Xishan Primary School
134,Yangzheng Primary School
135,Yew Tee Primary School
136,Yio Chu Kang Primary School
137,Yishun Primary School
138,Yu Neng Primary School
139,Yuhua Primary School
140,Yumin Primary School
141,Zhangde Primary School
142,Zhenghua Primary School
143,Zhonghua Primary School
