,mrt_station
0,Jurong East MRT Station
1,Bukit Batok MRT Station
2,Bukit Gombak MRT Station
3,Choa Chu Kang MRT Station
4,Yew Tee MRT Station
5,Kranji MRT Station
6,Marsiling MRT Station
7,Woodlands MRT Station
8,Admiralty MRT Station
9,Sembawang MRT Station
10,Canberra MRT Station
11,Yishun MRT Station
12,Khatib MRT Station
13,Yio Chu Kang MRT Station
14,Ang Mo Kio MRT Station
15,Bishan MRT Station
16,Braddell MRT Station
17,Toa Payoh MRT Station
18,Novena MRT Station
19,Newton MRT Station
20,Orchard MRT Station
21,Somerset MRT Station
22,Dhoby Ghaut MRT Station
23,City Hall MRT Station
24,Raffles Place MRT Station
25,Marina Bay MRT Station
26,Marina South Pier MRT Station
27,Pasir Ris MRT Station
28,Tampines MRT Station
29,Simei MRT Station
30,Tanah Merah MRT Station
31,Bedok MRT Station
32,Kembangan MRT Station
33,Eunos MRT Station
34,Paya Lebar MRT Station
35,Aljunied MRT Station
36,Kallang MRT Station
37,Lavender MRT Station
38,Bugis MRT Station
39,Tanjong Pagar MRT Station
40,Outram Park MRT Station
41,Tiong Bahru MRT Station
42,Redhill MRT Station
43,Queenstown MRT Station
44,Commonwealth MRT Station
45,Buona Vista MRT Station
46,Dover MRT Station
47,Clementi MRT Station
48,Chinese Garden MRT Station
49,Lakeside MRT Station
50,Boon Lay MRT Station
51,Pioneer MRT Station
52,Joo Koon MRT Station
53,Gul Circle MRT Station
54,Tuas Crescent MRT Station
55,Tuas West Road MRT Station
56,Tuas Link MRT Station
57,Expo MRT Station
58,Changi Airport MRT Station
59,HarbourFront MRT Station
60,Chinatown MRT Station
61,Clarke Quay MRT Station
62,Little India MRT Station
63,Farrer Park MRT Station
64,Boon Keng MRT Station
65,Potong Pasir MRT Station
66,Woodleigh MRT Station
67,Serangoon MRT Station
68,Kovan MRT Station
69,Hougang MRT Station
70,Buangkok MRT Station
71,Sengkang MRT Station
72,Punggol MRT Station
73,Bras Basah MRT Station
74,Esplanade MRT Station
75,Promenade MRT Station
76,Nicoll Highway MRT Station
77,Stadium MRT Station
78,Mountbatten MRT Station
79,Dakota MRT Station
80,MacPherson MRT Station
81,Tai Seng MRT Station
82,Bartley MRT Station
83,Lorong Chuan MRT Station
84,Marymount MRT Station
85,Caldecott MRT Station
86,Botanic Gardens MRT Station
87,Farrer Road MRT Station
88,Holland Village MRT Station
89,one-north MRT Station
90,Kent Ridge MRT Station
91,Haw Par Villa MRT Station
92,Pasir Panjang MRT Station
93,Labrador Park MRT Station
94,Telok Blangah MRT Station
95,Bayfront MRT Station
96,Bukit Panjang MRT Station
97,Cashew MRT Station
98,Hillview MRT Station
99,Beauty World MRT Station
100,King Albert Park MRT Station
101,Sixth Avenue MRT Station
102,Tan Kah Kee MRT Station
103,Stevens MRT Station
104,Rochor MRT Station
105,Downtown MRT Station
106,Telok Ayer MRT Station
107,Fort Canning MRT Station
108,Bencoolen MRT Station
109,Jalan Besar MRT Station
110,Bendemeer MRT Station
111,Geylang Bahru MRT Station
112,Mattar MRT Station
113,Ubi MRT Station
114,Kaki Bukit MRT Station
115,Bedok North MRT Station
116,Bedok Reservoir MRT Station
117,Tampines West MRT Station
118,Tampines East MRT Station
119,Upper Changi MRT Station
